City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Guerrero Negro,MX,27.9769,-114.0611,78.01,53,87,15.32,overcast clouds
225,Chuy,UY,-33.6971,-53.4616,49.5,90,99,14.74,light rain
226,Atbasar,KZ,51.8,68.3333,64.87,81,43,17.9,scattered clouds
227,Zonguldak,TR,41.25,31.8333,58.91,94,0,4.07,clear sky
228,Nizhneangarsk,RU,55.7833,109.55,48.67,99,100,1.39,overcast clouds
229,San Cristobal,VE,7.7669,-72.225,78.98,48,10,5.23,clear sky
230,Fairlie,GB,55.756,-4.8556,62.51,85,100,2.33,overcast clouds
231,Sarh,TD,9.1429,18.3923,73.29,92,98,3.33,overcast clouds
232,Gamboma,CG,-1.8764,15.8644,84.13,35,51,0.58,broken clouds
233,Kidal,ML,18.4411,1.4078,89.24,39,59,8.55,broken clouds
234,Ilulissat,GL,69.2167,-51.1,50.02,57,56,6.91,broken clouds
235,Camacha,PT,33.0833,-16.3333,67.42,83,20,6.91,few clouds
236,Half Moon Bay,US,37.4636,-122.4286,95.88,58,20,19.57,few clouds
237,Nanortalik,GL,60.1432,-45.2371,43.81,80,46,5.91,scattered clouds
238,Itarema,BR,-2.9248,-39.9167,79.2,79,10,16.26,clear sky
239,Shelabolikha,RU,53.4131,82.6167,56.86,85,95,3.71,overcast clouds
240,Kisangani,CD,0.5167,25.2,70.07,94,100,1.81,overcast clouds
241,Nioro,GM,13.35,-15.75,82.08,75,98,11.05,overcast clouds
242,Domoni,KM,-12.2569,44.5319,74.19,77,63,8.39,broken clouds
243,Saint Anthony,US,45.0205,-93.218,87.91,53,40,9.22,scattered clouds
244,Olafsvik,IS,64.8945,-23.7142,50.2,93,100,1.19,light rain
245,General Roca,AR,-39.0333,-67.5833,50.63,40,29,22.32,scattered clouds
246,Bambous Virieux,MU,-20.3428,57.7575,67.21,72,56,17.05,light rain
247,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,81,99,18.63,overcast clouds
248,Nizwa,OM,22.9333,57.5333,87.17,60,100,3.02,overcast clouds
249,Carutapera,BR,-1.195,-46.02,78.13,84,84,6.24,broken clouds
250,Saint-Pierre,RE,-21.3393,55.4781,68.29,73,75,10.36,broken clouds
251,Pilar,BR,-9.5972,-35.9567,75.13,93,29,5.23,scattered clouds
252,Barroquinha,BR,-3.0189,-41.1361,79.75,76,68,5.41,broken clouds
253,Krasnoselkup,RU,65.7,82.4667,51.94,89,29,10.65,scattered clouds
254,Calatayud,ES,41.3535,-1.6432,88.97,21,0,1.5,clear sky
255,Tartagal,AR,-22.5164,-63.8013,57.02,44,100,7.16,overcast clouds
